teacher_id,teacher_name,designation,subjects,max_hours_per_day,available_days
T01,Dr. A. Pattnaik,Professor,"S301,S302",5,"Mon,Tue,Wed,Thu,Fri"
T02,Dr. S. Mohanty,Professor,"S301,S302",5,"Mon,Tue,Wed,Thu,Fri"
T03,Dr. R. Nayak,Associate Professor,"S303,S304",5,"Mon,Tue,Wed,Thu,Fri"
T04,Dr. P. Mishra,Associate Professor,"S303,S304",5,"Mon,Tue,Wed,Thu,Fri"
T05,Dr. K. Das,Associate Professor,"S305,S306",5,"Mon,Tue,Wed,Thu,Fri"
T06,Dr. M. Behera,Associate Professor,"S305,S306",5,"Mon,Tue,Wed,Thu,Fri"
T07,Prof. B. Rath,Assistant Professor,"S401,S402",5,"Mon,Tue,Wed,Thu,Fri"
T08,Prof. L. Panda,Assistant Professor,"S401,S402",5,"Mon,Tue,Wed,Thu,Fri"
T09,Prof. G. Sahoo,Assistant Professor,"S403,S404",5,"Mon,Tue,Wed,Thu,Fri"
T10,Prof. N. Swain,Assistant Professor,"S403,S404",5,"Mon,Tue,Wed,Thu,Fri"
T11,Prof. D. Sethi,Assistant Professor,"S405,S406",5,"Mon,Tue,Wed,Thu,Fri"
T12,Prof. C. Rout,Assistant Professor,"S405,S406",5,"Mon,Tue,Wed,Thu,Fri"
T13,Prof. H. Prusty,Assistant Professor,"S501,S502",5,"Mon,Tue,Wed,Thu,Fri"
T14,Prof. J. Tripathy,Assistant Professor,"S501,S502",5,"Mon,Tue,Wed,Thu,Fri"
T15,Prof. F. Barik,Assistant Professor,"S503,S504",5,"Mon,Tue,Wed,Thu,Fri"
T16,Prof. E. Moharana,Assistant Professor,"S503,S504",5,"Mon,Tue,Wed,Thu,Fri"
T17,Prof. I. Lenka,Assistant Professor,"S505,S506",5,"Mon,Tue,Wed,Thu,Fri"
T18,Prof. V. Sahu,Assistant Professor,"S505,S506",5,"Mon,Tue,Wed,Thu,Fri"
T19,Prof. W. Dash,Assistant Professor,"S601,S602",5,"Mon,Tue,Wed,Thu,Fri"
T20,Prof. X. Patnaik,Assistant Professor,"S601,S602",5,"Mon,Tue,Wed,Thu,Fri"
T21,Prof. Y. Pradhan,Assistant Professor,"S603,S604",5,"Mon,Tue,Wed,Thu,Fri"
T22,Prof. Z. Biswal,Assistant Professor,"S603,S604",5,"Mon,Tue,Wed,Thu,Fri"
T23,Dr. Q. Choudhury,Professor,"S605,S606",5,"Mon,Tue,Wed,Thu,Fri"
T24,Prof. U. Nanda,Assistant Professor,"S605,S606",5,"Mon,Tue,Wed,Thu,Fri"
T25,Dr. M. Tripathi,Professor,"S701,S702",5,"Mon,Tue,Wed,Thu,Fri"
T26,Prof. P. Acharya,Assistant Professor,"S701,S702",5,"Mon,Tue,Wed,Thu,Fri"
T27,Prof. R. Pradhan,Assistant Professor,"S703,S704",5,"Mon,Tue,Wed,Thu,Fri"
T28,Prof. S. Mahapatra,Assistant Professor,"S703,S704",5,"Mon,Tue,Wed,Thu,Fri"
T29,Prof. T. Panigrahi,Assistant Professor,"S705,S706",5,"Mon,Tue,Wed,Thu,Fri"
T30,Prof. K. Mohanta,Assistant Professor,"S705,S706",5,"Mon,Tue,Wed,Thu,Fri"
T31,Prof. A. Senapati,Assistant Professor,"S801,S802",5,"Mon,Tue,Wed,Thu,Fri"
T32,Prof. B. Mishra,Assistant Professor,"S801,S802",5,"Mon,Tue,Wed,Thu,Fri"
T33,Prof. C. Sahani,Assistant Professor,"S803,S804",5,"Mon,Tue,Wed,Thu,Fri"
T34,Prof. D. Behera,Assistant Professor,"S803,S804",5,"Mon,Tue,Wed,Thu,Fri"
T35,Prof. E. Ratha,Assistant Professor,"S805,S806",5,"Mon,Tue,Wed,Thu,Fri"
T36,Prof. F. Sinha,Assistant Professor,"S805,S806",5,"Mon,Tue,Wed,Thu,Fri"
T37,Prof. G. Barik,Assistant Professor,"S101,S102",5,"Mon,Tue,Wed,Thu,Fri"
T38,Prof. H. Nanda,Assistant Professor,"S101,S102",5,"Mon,Tue,Wed,Thu,Fri"
T39,Prof. I. Rath,Assistant Professor,"S103,S104",5,"Mon,Tue,Wed,Thu,Fri"
T40,Prof. J. Das,Assistant Professor,"S103,S104",5,"Mon,Tue,Wed,Thu,Fri"
T41,Prof. K. Sahoo,Assistant Professor,"S105,S106",5,"Mon,Tue,Wed,Thu,Fri"
T42,Prof. L. Swain,Assistant Professor,"S105,S106",5,"Mon,Tue,Wed,Thu,Fri"
T43,Prof. M. Sethi,Assistant Professor,"S201,S202",5,"Mon,Tue,Wed,Thu,Fri"
T44,Prof. N. Rout,Assistant Professor,"S201,S202",5,"Mon,Tue,Wed,Thu,Fri"
T45,Prof. O. Prusty,Assistant Professor,"S203,S204",5,"Mon,Tue,Wed,Thu,Fri"
T46,Prof. P. Tripathy,Assistant Professor,"S203,S204",5,"Mon,Tue,Wed,Thu,Fri"
T47,Prof. Q. Barik,Assistant Professor,"S205,S206",5,"Mon,Tue,Wed,Thu,Fri"
T48,Prof. R. Moharana,Assistant Professor,"S205,S206",5,"Mon,Tue,Wed,Thu,Fri"
T49,Lab-Instr. Ravi Kumar,Lab Instructor,"L101,L102,L103",6,"Mon,Tue,Wed,Thu,Fri"
T50,Lab-Instr. Sita Devi,Lab Instructor,"L101,L102,L103",6,"Mon,Tue,Wed,Thu,Fri"
T51,Lab-Instr. Gita Rani,Lab Instructor,"L201,L202,L203",6,"Mon,Tue,Wed,Thu,Fri"
T52,Lab-Instr. Rama Devi,Lab Instructor,"L201,L202,L203",6,"Mon,Tue,Wed,Thu,Fri"
T53,Lab-Instr. Kiran Bala,Lab Instructor,"L301,L302,L303",6,"Mon,Tue,Wed,Thu,Fri"
T54,Lab-Instr. Mala Devi,Lab Instructor,"L301,L302,L303",6,"Mon,Tue,Wed,Thu,Fri"
T55,Lab-Instr. Devi Prasad,Lab Instructor,"L401,L402,L403",6,"Mon,Tue,Wed,Thu,Fri"
T56,Lab-Instr. Hari Prasad,Lab Instructor,"L401,L402,L403",6,"Mon,Tue,Wed,Thu,Fri"
T57,Lab-Instr. Om Prakash,Lab Instructor,"L501,L502,L503",6,"Mon,Tue,Wed,Thu,Fri"
T58,Lab-Instr. Shiva Kumar,Lab Instructor,"L501,L502,L503",6,"Mon,Tue,Wed,Thu,Fri"
T59,Lab-Instr. Durga Devi,Lab Instructor,"L601,L602,L603",6,"Mon,Tue,Wed,Thu,Fri"
T60,Lab-Instr. Parvati Bai,Lab Instructor,"L601,L602,L603",6,"Mon,Tue,Wed,Thu,Fri"
T61,Lab-Instr. Saraswati,Lab Instructor,"L701,L702,L703",6,"Mon,Tue,Wed,Thu,Fri"
T62,Lab-Instr. Lakshmi Bai,Lab Instructor,"L701,L702,L703",6,"Mon,Tue,Wed,Thu,Fri"
T63,Lab-Instr. Indira Devi,Lab Instructor,"L801,L802,L803",6,"Mon,Tue,Wed,Thu,Fri"
T64,Lab-Instr. Kamala Devi,Lab Instructor,"L801,L802,L803",6,"Mon,Tue,Wed,Thu,Fri"
